X,Y
6.08,7.98E-18
6.09,7.02E-18
6.1,6.18E-18
6.11,5.43E-18
6.12,4.78E-18
6.13,4.20E-18
6.14,3.69E-18
6.15,3.25E-18
6.16,2.85E-18
6.17,2.51E-18
6.18,2.20E-18
6.19,1.93E-18
6.2,1.70E-18
6.21,1.49E-18
6.22,1.31E-18
6.23,1.15E-18
6.24,1.01E-18
6.25,8.83E-19
6.26,7.74E-19
6.27,6.79E-19
6.28,5.95E-19
6.29,5.21E-19
6.3,4.57E-19
6.31,4.00E-19
6.32,3.50E-19
6.33,3.07E-19
6.34,2.69E-19
6.35,2.35E-19
6.36,2.06E-19
6.37,1.80E-19
6.38,1.57E-19
6.39,1.38E-19
6.4,1.20E-19
6.41,1.05E-19
6.42,9.19E-20
6.43,8.03E-20
6.44,7.02E-20
6.45,6.13E-20
6.46,5.35E-20
6.47,4.67E-20
6.48,4.08E-20
6.49,3.56E-20
6.5,3.10E-20
6.51,2.71E-20
6.52,2.36E-20
6.53,2.06E-20
6.54,1.80E-20
6.55,1.56E-20
6.56,1.36E-20
6.57,1.19E-20
6.58,1.03E-20
6.59,9.01E-21
6.6,7.84E-21
6.61,6.83E-21
6.62,5.94E-21
6.63,5.17E-21
6.64,4.50E-21
6.65,3.91E-21
6.66,3.40E-21
6.67,2.96E-21
6.68,2.57E-21
6.69,2.23E-21
6.7,1.94E-21
6.71,1.69E-21
6.72,1.46E-21
6.73,1.27E-21
6.74,1.10E-21
6.75,9.58E-22
6.76,8.31E-22
6.77,7.21E-22
6.78,6.25E-22
6.79,5.42E-22
6.8,4.70E-22
6.81,4.07E-22
6.82,3.53E-22
6.83,3.06E-22
6.84,2.65E-22
6.85,2.30E-22
6.86,1.99E-22
6.87,1.72E-22
6.88,1.49E-22
6.89,1.29E-22
6.9,1.12E-22
